Id,Fecha,Hora,Usuario,Area,CGM,Direccion,Coordenadas,Tarea_Preventiva,Observaciones,Foto
7cc5a177,2026-05-06,13:43:48,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Av. 9 de Julio & San Mateo, B1836 Temperley, Provincia de Buenos Aires, Argentina","-34.791265, -58.409008",Limpieza Manual Sumidero,,
fedf9279,2026-05-06,13:40:42,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"La Huella & Avenida del Rey, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793176, -58.431678",Recoleccion Monticulos,Limpieza de montículo,Tareas_Preventivas_Images/fedf9279.Foto.164757.jpg
3e0369ac,2026-05-06,13:47:58,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Avenida Hipólito Yrigoyen & José E. Agüero, B1836 Turdera, Provincia de Buenos Aires, Argentina","-34.791265, -58.409008",Limpieza Manual Sumidero,,
c55d7812,2026-05-06,13:48:21,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Santa María & Vicente Fidel López, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791269, -58.409027",Limpieza Manual Sumidero,,
32bb7e2e,2026-05-06,13:48:38,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"San Benito & Avenida 9 de Julio, B1836 Temperley, Provincia de Buenos Aires, Argentina","-34.791265, -58.409019",Limpieza Manual Sumidero,,
dde3fd9e,2026-05-06,13:48:54,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Santa Ana & Vicente Fidel López, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791267, -58.409014",Limpieza Manual Sumidero,,
3517a36c,2026-05-06,13:49:17,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"General Riego y Núñez & San Raimundo, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791270, -58.408999",Limpieza Manual Sumidero,,
9efea0e5,2026-05-06,13:49:44,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"San Joaquín, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791281, -58.409031",Limpieza Manual Sumidero,,
685a11b8,2026-05-06,13:50:00,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Gral. Riego y Núñez & Sta. Ana, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791261, -58.409024",Limpieza Manual Sumidero,,
49f6eaa9,2026-05-06,13:49:24,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Rondeau & 1 de Marzo, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793179, -58.431693",Recoleccion Monticulos,"Recoleccion ,Basura ,colchón",Tareas_Preventivas_Images/49f6eaa9.Foto.165101.jpg
42835d8a,2026-05-06,13:57:43,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Rondeau & Luis Davila, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793190, -58.431704",Recoleccion Monticulos,Trabajo preventivo recolección de basura,Tareas_Preventivas_Images/42835d8a.Foto.165936.jpg
7b126736,2026-05-06,14:11:59,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Cramer, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793190, -58.431704",Recoleccion Monticulos,Recolección de ramas,Tareas_Preventivas_Images/7b126736.Foto.171302.jpg
3aafbd1d,2026-05-06,14:14:29,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Pobladora, B1836, Provincia de Buenos Aires, Argentina","-34.793190, -58.431704",Recoleccion Monticulos,Limpieza de basura en esquina,Tareas_Preventivas_Images/3aafbd1d.Foto.171629.jpg
e2e59d9b,2026-05-06,14:24:00,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Victoria, Buenos Aires Province, Argentina","-34.793203, -58.431689",Recoleccion Monticulos,Recolección de escombro,Tareas_Preventivas_Images/e2e59d9b.Foto.172904.jpg
fcafed1d,2026-05-06,14:35:05,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Av. del Rey, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793180, -58.431720",Recoleccion Monticulos,Limpieza  preventiva,Tareas_Preventivas_Images/fcafed1d.Foto.173633.jpg
4db4431e,2026-05-06,14:38:49,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,,"-34.793180, -58.431720",Recoleccion Monticulos,Se reailzo limpieza preventiva en rondeau desde 1 de marzo hasta segui,Tareas_Preventivas_Images/4db4431e.Foto.174103.jpg
02a7dd0c,2026-05-06,14:42:19,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Av. del Rey 499, B1836EBU Llavallol, Provincia de Buenos Aires, Argentina","-34.793180, -58.431720",Recoleccion Monticulos,Limpieza preventiva ramas basura,Tareas_Preventivas_Images/02a7dd0c.Foto.174407.jpg
82523966,2026-05-06,14:46:51,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Irala & Avenida del Rey, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793180, -58.431720",Recoleccion Monticulos,Retiro de ramas basura y colchón,Tareas_Preventivas_Images/82523966.Foto.174755.jpg
feb25974,2026-05-06,14:49:35,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,,"-34.793180, -58.431720",Recoleccion Monticulos,Recolección de montículos ramas basura colchones maderas,Tareas_Preventivas_Images/feb25974.Foto.175106.jpg
